"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2021-01-14","NE","A",1803,,12,,5520,5520,449,23,,,699608,3169,,,1680017,,,179199,179199,1529,0,,,,,205069,123234,,0,1887154,12447,,,,,879242,4699,1887154,12447
"2021-01-14","NH","B",897,,12,,944,944,270,2,310,,514823,3098,,,,,,54778,39866,653,0,,,,,,47153,,0,1122237,10190,36785,96283,35379,,554689,3592,1122237,10190
"2021-01-14","NJ","A",20253,18162,92,2091,54004,54004,3638,190,,644,7924516,49859,,,,,456,609721,549840,7092,0,,,,,,61264,,0,8534237,56951,,,,,,0,8474356,62584
"2021-01-14","NM","A",2836,,29,,10947,10947,691,75,,,1980019,14148,,,,,,160543,,1424,0,,,,,,82809,,0,2140562,15572,,,,,,0,2140562,15572
"2021-01-14","NV","A+",3658,,62,,,,1746,0,,410,1005419,4238,,,,,288,256172,256172,2187,0,,,,,,,2289156,20465,2289156,20465,,,,,1261591,6425,,0
"2021-01-14","NY","B",32379,,204,,89995,89995,8823,0,,1536,26947426,198928,,,,,956,1183608,,13661,0,,,,,,112979,28131034,212589,28131034,212589,,,,,,0,,0
"2021-01-14","OH","A+",9990,8974,109,1016,42491,42491,3789,340,6289,952,7590813,47718,,,,,618,807293,714168,7654,0,,57832,,,738897,663856,,0,8304981,54001,,1036519,,,,0,8304981,54001
"2021-01-14","OK","A+",2882,,34,,19460,19460,1844,261,,474,2563861,15835,,,2563861,,,344506,,3142,0,9516,,,,327292,303476,,0,2908367,18977,109422,,,,,0,2898461,17359
"2021-01-14","OR","A+",1708,,41,,7123,7123,470,71,,113,2745463,16557,,,2701828,,53,129109,74629,1329,0,,,,,172744,5870,,0,2874572,17886,,,,,,0,2874572,17886
"2021-01-14","PA","A+",18742,,313,,,,4980,0,,1013,3427975,11603,,,,,626,748564,661700,7175,0,,,,,,568908,,0,4176539,18778,,,,,4089675,17172,8161897,53557
"2021-01-14","PR","B",1679,1397,20,282,,,407,0,,52,305972,0,,,303412,,61,84816,79114,177,0,60303,,,,7002,73760,,0,390788,177,,,,,,0,310546,0
"2021-01-14","RI","A+",1996,,9,,7366,7366,375,56,,53,585190,3467,,,2096250,,34,103386,,901,0,,,,,123555,6175,2219805,20175,2219805,20175,,,,,688576,4368,,0
"2021-01-14","SC","A+",5934,5420,23,514,15940,15940,2427,92,,465,3204940,34882,93277,,3110135,,290,371180,337845,5802,0,18522,66213,,,432650,170072,,0,3576120,40684,111799,512362,,,,0,3542785,39737
"2021-01-14","SD","A+",1614,,10,,5998,5998,247,20,,56,283660,556,,,,,31,104512,93814,317,0,,,,,,98170,,0,388172,873,,,,,388172,873,821580,5252
"2021-01-14","TN","A+",8232,6909,84,1323,15753,15753,3150,98,,781,5363049,20429,,,5274954,,436,670482,576406,4983,0,,102283,,,664501,596883,,0,6033531,25412,,756813,,,,0,5939455,24216
"2021-01-14","TX","A",31050,,426,,,,14052,0,,3662,13509914,106445,,,,,,2045699,1794545,23064,0,104726,130380,,,2013598,1630778,,0,15304459,125371,853435,1427906,,,,0,15304459,125371
"2021-01-14","UT","A+",1460,,11,,12249,12249,614,89,1957,194,1366779,5274,,,2121421,675,,317559,276934,2742,0,,42040,,40351,300381,260728,,0,2421802,14810,,559136,,227903,1643713,7072,2421802,14810
"2021-01-14","VA","A+",5626,4952,74,674,19595,19595,3196,125,,583,4363410,28248,,,,,366,417839,343304,5294,0,19240,78154,,,429112,34013,4706714,32084,4706714,32084,196019,822044,,,,0,,0
"2021-01-14","VI","D",24,24,0,,,,,0,,,35759,0,,,,,,2166,,0,0,,,,,,2008,,0,37925,0,,,,,38019,0,,0
"2021-01-14","VT","B",162,,4,,,,45,0,,8,273192,1282,,,,,,9573,9325,205,0,,,,,,6403,,0,779178,8160,,,,,282517,1485,779178,8160
"2021-01-14","WA","A",3838,,49,,16080,16080,1083,12,,215,3859216,15270,,,,,93,281202,269201,2658,0,,,,,,,4128417,17770,4128417,17770,,,,,,0,,0
"2021-01-14","WI","A+",5728,5290,49,438,22804,22804,1025,99,2115,224,2421860,6987,,,,,,561160,515982,3140,0,,,,,,482669,5716124,41690,5716124,41690,,,,,2937842,9699,,0
"2021-01-14","WV","B",1702,1464,31,238,,,736,0,,187,1605838,13117,,,,,97,105219,84569,827,0,,,,,,76272,,0,1711057,13944,27515,,,,,0,1690407,13801
"2021-01-14","WY","B",522,,0,,1207,1207,89,10,,,162628,220,,,501049,,,48701,41628,412,0,,,,,41241,46127,,0,542316,4637,,,,,204256,565,542316,4637
"2021-01-13","AK","A",226,,2,,1138,1138,68,34,,,1321632,12721,,,1310360,,8,49203,,406,0,,,,,58985,7165,,0,1370835,13127,,,,,,0,1370835,13127
